Year,Award,Winner,Name,Film
1953,Actress in a Leading Role,0,Leslie Caron,Lili
1953,Actress in a Leading Role,0,Ava Gardner,Mogambo
1953,Actress in a Leading Role,0,Deborah Kerr,From Here to Eternity
1953,Actress in a Leading Role,0,Maggie McNamara,The Moon Is Blue
1953,Actress in a Supporting Role,0,Grace Kelly,Mogambo
1953,Actress in a Supporting Role,0,Geraldine Page,Hondo
1953,Actress in a Supporting Role,0,Marjorie Rambeau,Torch Song
1953,Actress in a Supporting Role,0,Thelma Ritter,Pickup on South Street
1954,Actor in a Leading Role,1,Marlon Brando,On the Waterfront
1954,Actor in a Supporting Role,1,Edmond O'Brien,The Barefoot Contessa
1954,Actress in a Leading Role,1,Grace Kelly,The Country Girl
1954,Actress in a Supporting Role,1,Eva Marie Saint,On the Waterfront
1954,Actor in a Leading Role,0,Humphrey Bogart,The Caine Mutiny
1954,Actor in a Leading Role,0,Bing Crosby,The Country Girl
1954,Actor in a Leading Role,0,James Mason,A Star Is Born
1954,Actor in a Leading Role,0,Dan O'Herlihy,Adventures of Robinson Crusoe
1954,Actor in a Supporting Role,0,Lee J. Cobb,On the Waterfront
1954,Actor in a Supporting Role,0,Karl Malden,On the Waterfront
1954,Actor in a Supporting Role,0,Rod Steiger,On the Waterfront
1954,Actor in a Supporting Role,0,Tom Tully,The Caine Mutiny
1954,Actress in a Leading Role,0,Dorothy Dandridge,Carmen Jones
1954,Actress in a Leading Role,0,Judy Garland,A Star Is Born
1954,Actress in a Leading Role,0,Audrey Hepburn,Sabrina
1954,Actress in a Leading Role,0,Jane Wyman,Magnificent Obsession
1954,Actress in a Supporting Role,0,Nina Foch,Executive Suite
1954,Actress in a Supporting Role,0,Katy Jurado,Broken Lance
1954,Actress in a Supporting Role,0,Jan Sterling,The High and the Mighty
1954,Actress in a Supporting Role,0,Claire Trevor,The High and the Mighty
1955,Actor in a Leading Role,1,Ernest Borgnine,Marty
1955,Actor in a Supporting Role,1,Jack Lemmon,Mister Roberts
1955,Actress in a Leading Role,1,Anna Magnani,The Rose Tattoo
1955,Actress in a Supporting Role,1,Jo Van Fleet,East of Eden
1955,Actor in a Leading Role,0,James Cagney,Love Me or Leave Me
1955,Actor in a Leading Role,0,James Dean,East of Eden
1955,Actor in a Leading Role,0,Frank Sinatra,The Man with the Golden Arm
1955,Actor in a Leading Role,0,Spencer Tracy,Bad Day at Black Rock
1955,Actor in a Supporting Role,0,Arthur Kennedy,Trial
1955,Actor in a Supporting Role,0,Joe Mantell,Marty
1955,Actor in a Supporting Role,0,Sal Mineo,Rebel without a Cause
1955,Actor in a Supporting Role,0,Arthur O'Connell,Picnic
1955,Actress in a Leading Role,0,Susan Hayward,I'll Cry Tomorrow
1955,Actress in a Leading Role,0,Katharine Hepburn,Summertime
1955,Actress in a Leading Role,0,Jennifer Jones,Love Is a Many-Splendored Thing
1955,Actress in a Leading Role,0,Eleanor Parker,Interrupted Melody
1955,Actress in a Supporting Role,0,Betsy Blair,Marty
1955,Actress in a Supporting Role,0,Peggy Lee,Pete Kelly's Blues
1955,Actress in a Supporting Role,0,Marisa Pavan,The Rose Tattoo
1955,Actress in a Supporting Role,0,Natalie Wood,Rebel without a Cause
1956,Actor in a Leading Role,1,Yul Brynner,The King and I
1956,Actor in a Supporting Role,1,Anthony Quinn,Lust for Life
1956,Actress in a Leading Role,1,Ingrid Bergman,Anastasia
1956,Actress in a Supporting Role,1,Dorothy Malone,Written on the Wind
1956,Actor in a Leading Role,0,James Dean,Giant
1956,Actor in a Leading Role,0,Kirk Douglas,Lust for Life
1956,Actor in a Leading Role,0,Rock Hudson,Giant
1956,Actor in a Leading Role,0,Sir Laurence Olivier,Richard III
1956,Actor in a Supporting Role,0,Don Murray,Bus Stop
1956,Actor in a Supporting Role,0,Anthony Perkins,Friendly Persuasion
1956,Actor in a Supporting Role,0,Mickey Rooney,The Bold and the Brave
1956,Actor in a Supporting Role,0,Robert Stack,Written on the Wind
1956,Actress in a Leading Role,0,Carroll Baker,Baby Doll
1956,Actress in a Leading Role,0,Katharine Hepburn,The Rainmaker
1956,Actress in a Leading Role,0,Nancy Kelly,The Bad Seed
1956,Actress in a Leading Role,0,Deborah Kerr,The King and I
1956,Actress in a Supporting Role,0,Mildred Dunnock,Baby Doll
1956,Actress in a Supporting Role,0,Eileen Heckart,The Bad Seed
1956,Actress in a Supporting Role,0,Mercedes McCambridge,Giant
1956,Actress in a Supporting Role,0,Patty McCormack,The Bad Seed
1957,Actor in a Leading Role,1,Alec Guinness,The Bridge on the River Kwai
1957,Actor in a Supporting Role,1,Red Buttons,Sayonara
1957,Actress in a Leading Role,1,Joanne Woodward,The Three Faces of Eve
1957,Actress in a Supporting Role,1,Miyoshi Umeki,Sayonara
1957,Actor in a Leading Role,0,Marlon Brando,Sayonara
1957,Actor in a Leading Role,0,Anthony Franciosa,A Hatful of Rain
1957,Actor in a Leading Role,0,Charles Laughton,Witness for the Prosecution
1957,Actor in a Leading Role,0,Anthony Quinn,Wild Is the Wind
1957,Actor in a Supporting Role,0,Vittorio De Sica,A Farewell to Arms
1957,Actor in a Supporting Role,0,Sessue Hayakawa,The Bridge on the River Kwai
1957,Actor in a Supporting Role,0,Arthur Kennedy,Peyton Place
1957,Actor in a Supporting Role,0,Russ Tamblyn,Peyton Place
1957,Actress in a Leading Role,0,Deborah Kerr,"Heaven Knows, Mr. Allison"
1957,Actress in a Leading Role,0,Anna Magnani,Wild Is the Wind
1957,Actress in a Leading Role,0,Elizabeth Taylor,Raintree County
1957,Actress in a Leading Role,0,Lana Turner,Peyton Place
1957,Actress in a Supporting Role,0,Carolyn Jones,The Bachelor Party
1957,Actress in a Supporting Role,0,Elsa Lanchester,Witness for the Prosecution
1957,Actress in a Supporting Role,0,Hope Lange,Peyton Place
1957,Actress in a Supporting Role,0,Diane Varsi,Peyton Place
1958,Actor in a Leading Role,1,David Niven,Separate Tables
1958,Actor in a Supporting Role,1,Burl Ives,The Big Country
1958,Actress in a Leading Role,1,Susan Hayward,I Want to Live!
1958,Actress in a Supporting Role,1,Wendy Hiller,Separate Tables
1958,Actor in a Leading Role,0,Tony Curtis,The Defiant Ones
1958,Actor in a Leading Role,0,Paul Newman,Cat on a Hot Tin Roof
1958,Actor in a Leading Role,0,Sidney Poitier,The Defiant Ones
1958,Actor in a Leading Role,0,Spencer Tracy,The Old Man and the Sea
1958,Actor in a Supporting Role,0,Theodore Bikel,The Defiant Ones
1958,Actor in a Supporting Role,0,Lee J. Cobb,The Brothers Karamazov
1958,Actor in a Supporting Role,0,Arthur Kennedy,Some Came Running
1958,Actor in a Supporting Role,0,Gig Young,Teacher's Pet
1958,Actress in a Leading Role,0,Deborah Kerr,Separate Tables
1958,Actress in a Leading Role,0,Shirley MacLaine,Some Came Running
1958,Actress in a Leading Role,0,Rosalind Russell,Auntie Mame
1958,Actress in a Leading Role,0,Elizabeth Taylor,Cat on a Hot Tin Roof
1958,Actress in a Supporting Role,0,Peggy Cass,Auntie Mame
1958,Actress in a Supporting Role,0,Martha Hyer,Some Came Running
1958,Actress in a Supporting Role,0,Maureen Stapleton,Lonelyhearts
1958,Actress in a Supporting Role,0,Cara Williams,The Defiant Ones
1959,Actor in a Leading Role,1,Charlton Heston,Ben-Hur
1959,Actor in a Supporting Role,1,Hugh Griffith,Ben-Hur
1959,Actress in a Leading Role,1,Simone Signoret,Room at the Top
1959,Actress in a Supporting Role,1,Shelley Winters,The Diary of Anne Frank
1959,Actor in a Leading Role,0,Laurence Harvey,Room at the Top
1959,Actor in a Leading Role,0,Jack Lemmon,Some Like It Hot
1959,Actor in a Leading Role,0,Paul Muni,The Last Angry Man
1959,Actor in a Leading Role,0,James Stewart,Anatomy of a Murder
1959,Actor in a Supporting Role,0,Arthur O'Connell,Anatomy of a Murder
1959,Actor in a Supporting Role,0,George C. Scott,Anatomy of a Murder
1959,Actor in a Supporting Role,0,Robert Vaughn,The Young Philadelphians
1959,Actor in a Supporting Role,0,Ed Wynn,The Diary of Anne Frank
1959,Actress in a Leading Role,0,Doris Day,Pillow Talk
1959,Actress in a Leading Role,0,Audrey Hepburn,The Nun's Story
1959,Actress in a Leading Role,0,Katharine Hepburn,"Suddenly, Last Summer"
1959,Actress in a Leading Role,0,Elizabeth Taylor,"Suddenly, Last Summer"
1959,Actress in a Supporting Role,0,Hermione Baddeley,Room at the Top
1959,Actress in a Supporting Role,0,Susan Kohner,Imitation of Life
1959,Actress in a Supporting Role,0,Juanita Moore,Imitation of Life
1959,Actress in a Supporting Role,0,Thelma Ritter,Pillow Talk
1960,Actor in a Leading Role,1,Burt Lancaster,Elmer Gantry
1960,Actor in a Supporting Role,1,Peter Ustinov,Spartacus
1960,Actress in a Leading Role,1,Elizabeth Taylor,Butterfield 8
1960,Actress in a Supporting Role,1,Shirley Jones,Elmer Gantry
1960,Actor in a Leading Role,0,Trevor Howard,Sons and Lovers
1960,Actor in a Leading Role,0,Jack Lemmon,The Apartment
1960,Actor in a Leading Role,0,Laurence Olivier,The Entertainer
1960,Actor in a Leading Role,0,Spencer Tracy,Inherit the Wind
1960,Actor in a Supporting Role,0,Peter Falk,"Murder, Inc."
1960,Actor in a Supporting Role,0,Jack Kruschen,The Apartment
1960,Actor in a Supporting Role,0,Sal Mineo,Exodus
1960,Actor in a Supporting Role,0,Chill Wills,The Alamo
1960,Actress in a Leading Role,0,Greer Garson,Sunrise at Campobello
1960,Actress in a Leading Role,0,Deborah Kerr,The Sundowners
1960,Actress in a Leading Role,0,Shirley MacLaine,The Apartment
1960,Actress in a Leading Role,0,Melina Mercouri,Never on Sunday
1960,Actress in a Supporting Role,0,Glynis Johns,The Sundowners
1960,Actress in a Supporting Role,0,Shirley Knight,The Dark at the Top of the Stairs
1960,Actress in a Supporting Role,0,Janet Leigh,Psycho
1960,Actress in a Supporting Role,0,Mary Ure,Sons and Lovers
1961,Actor in a Leading Role,1,Maximilian Schell,Judgment at Nuremberg
1961,Actor in a Supporting Role,1,George Chakiris,West Side Story
1961,Actress in a Leading Role,1,Sophia Loren,Two Women
1961,Actress in a Supporting Role,1,Rita Moreno,West Side Story
1961,Actor in a Leading Role,0,Charles Boyer,Fanny
1961,Actor in a Leading Role,0,Paul Newman,The Hustler
1961,Actor in a Leading Role,0,Spencer Tracy,Judgment at Nuremberg
1961,Actor in a Leading Role,0,Stuart Whitman,The Mark
1961,Actor in a Supporting Role,0,Montgomery Clift,Judgment at Nuremberg
1961,Actor in a Supporting Role,0,Peter Falk,Pocketful of Miracles
1961,Actor in a Supporting Role,0,Jackie Gleason,The Hustler
1961,Actor in a Supporting Role,0,George C. Scott,The Hustler
1961,Actress in a Leading Role,0,Audrey Hepburn,Breakfast at Tiffany's
1961,Actress in a Leading Role,0,Piper Laurie,The Hustler
1961,Actress in a Leading Role,0,Geraldine Page,Summer and Smoke
1961,Actress in a Leading Role,0,Natalie Wood,Splendor in the Grass
1961,Actress in a Supporting Role,0,Fay Bainter,The Children's Hour
1961,Actress in a Supporting Role,0,Judy Garland,Judgment at Nuremberg
1961,Actress in a Supporting Role,0,Lotte Lenya,The Roman Spring of Mrs. Stone
1961,Actress in a Supporting Role,0,Una Merkel,Summer and Smoke
1962,Actor in a Leading Role,1,Gregory Peck,To Kill a Mockingbird
1962,Actor in a Supporting Role,1,Ed Begley,Sweet Bird of Youth
1962,Actress in a Leading Role,1,Anne Bancroft,The Miracle Worker
1962,Actress in a Supporting Role,1,Patty Duke,The Miracle Worker
1962,Actor in a Leading Role,0,Burt Lancaster,Birdman of Alcatraz
1962,Actor in a Leading Role,0,Jack Lemmon,Days of Wine and Roses
1962,Actor in a Leading Role,0,Marcello Mastroianni,Divorce--Italian Style
1962,Actor in a Leading Role,0,Peter O'Toole,Lawrence of Arabia
1962,Actor in a Supporting Role,0,Victor Buono,What Ever Happened to Baby Jane?
1962,Actor in a Supporting Role,0,Telly Savalas,Birdman of Alcatraz
1962,Actor in a Supporting Role,0,Omar Sharif,Lawrence of Arabia
1962,Actor in a Supporting Role,0,Terence Stamp,Billy Budd
1962,Actress in a Leading Role,0,Bette Davis,What Ever Happened to Baby Jane?
1962,Actress in a Leading Role,0,Katharine Hepburn,Long Day's Journey into Night
1962,Actress in a Leading Role,0,Geraldine Page,Sweet Bird of Youth
1962,Actress in a Leading Role,0,Lee Remick,Days of Wine and Roses
1962,Actress in a Supporting Role,0,Mary Badham,To Kill a Mockingbird
1962,Actress in a Supporting Role,0,Shirley Knight,Sweet Bird of Youth
1962,Actress in a Supporting Role,0,Angela Lansbury,The Manchurian Candidate
1962,Actress in a Supporting Role,0,Thelma Ritter,Birdman of Alcatraz
1963,Actor in a Leading Role,1,Sidney Poitier,Lilies of the Field
1963,Actor in a Supporting Role,1,Melvyn Douglas,Hud
1963,Actress in a Leading Role,1,Patricia Neal,Hud
1963,Actress in a Supporting Role,1,Margaret Rutherford,The V.I.P.s
1963,Actor in a Leading Role,0,Albert Finney,Tom Jones
1963,Actor in a Leading Role,0,Richard Harris,This Sporting Life
1963,Actor in a Leading Role,0,Rex Harrison,Cleopatra
1963,Actor in a Leading Role,0,Paul Newman,Hud
1963,Actor in a Supporting Role,0,Nick Adams,Twilight of Honor
1963,Actor in a Supporting Role,0,Bobby Darin,"Captain Newman, M.D."
1963,Actor in a Supporting Role,0,Hugh Griffith,Tom Jones
1963,Actor in a Supporting Role,0,John Huston,The Cardinal
1963,Actress in a Leading Role,0,Leslie Caron,The L-Shaped Room
1963,Actress in a Leading Role,0,Shirley MacLaine,Irma La Douce
1963,Actress in a Leading Role,0,Rachel Roberts,This Sporting Life
1963,Actress in a Leading Role,0,Natalie Wood,Love with the Proper Stranger
1963,Actress in a Supporting Role,0,Diane Cilento,Tom Jones
1963,Actress in a Supporting Role,0,Dame Edith Evans,Tom Jones
1963,Actress in a Supporting Role,0,Joyce Redman,Tom Jones
1963,Actress in a Supporting Role,0,Lilia Skala,Lilies of the Field
1964,Actor in a Leading Role,1,Rex Harrison,My Fair Lady
1964,Actor in a Supporting Role,1,Peter Ustinov,Topkapi
1964,Actress in a Leading Role,1,Julie Andrews,Mary Poppins
1964,Actress in a Supporting Role,1,Lila Kedrova,Zorba the Greek
1964,Actor in a Leading Role,0,Richard Burton,Becket
1964,Actor in a Leading Role,0,Peter O'Toole,Becket
1964,Actor in a Leading Role,0,Anthony Quinn,Zorba the Greek
1964,Actor in a Leading Role,0,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1964,Actor in a Supporting Role,0,John Gielgud,Becket
1964,Actor in a Supporting Role,0,Stanley Holloway,My Fair Lady
1964,Actor in a Supporting Role,0,Edmond O'Brien,Seven Days in May
1964,Actor in a Supporting Role,0,Lee Tracy,The Best Man
1964,Actress in a Leading Role,0,Anne Bancroft,The Pumpkin Eater
1964,Actress in a Leading Role,0,Sophia Loren,Marriage Italian Style
1964,Actress in a Leading Role,0,Debbie Reynolds,The Unsinkable Molly Brown
1964,Actress in a Leading Role,0,Kim Stanley,Seance on a Wet Afternoon
1964,Actress in a Supporting Role,0,Gladys Cooper,My Fair Lady
1964,Actress in a Supporting Role,0,Dame Edith Evans,The Chalk Garden
1964,Actress in a Supporting Role,0,Grayson Hall,The Night of the Iguana
1964,Actress in a Supporting Role,0,Agnes Moorehead,"Hush...Hush, Sweet Charlotte"
1965,Actor in a Leading Role,1,Lee Marvin,Cat Ballou
1965,Actor in a Supporting Role,1,Martin Balsam,A Thousand Clowns
1965,Actress in a Leading Role,1,Julie Christie,Darling
1965,Actress in a Supporting Role,1,Shelley Winters,A Patch of Blue
1965,Actor in a Leading Role,0,Richard Burton,The Spy Who Came In from the Cold
1965,Actor in a Leading Role,0,Laurence Olivier,Othello
1965,Actor in a Leading Role,0,Rod Steiger,The Pawnbroker
1965,Actor in a Leading Role,0,Oskar Werner,Ship of Fools
1965,Actor in a Supporting Role,0,Ian Bannen,The Flight of the Phoenix
1965,Actor in a Supporting Role,0,Tom Courtenay,Doctor Zhivago
1965,Actor in a Supporting Role,0,Michael Dunn,Ship of Fools
1965,Actor in a Supporting Role,0,Frank Finlay,Othello
1965,Actress in a Leading Role,0,Julie Andrews,The Sound of Music
1965,Actress in a Leading Role,0,Samantha Eggar,The Collector
1965,Actress in a Leading Role,0,Elizabeth Hartman,A Patch of Blue
1965,Actress in a Leading Role,0,Simone Signoret,Ship of Fools
1965,Actress in a Supporting Role,0,Ruth Gordon,Inside Daisy Clover
1965,Actress in a Supporting Role,0,Joyce Redman,Othello
1965,Actress in a Supporting Role,0,Maggie Smith,Othello
1965,Actress in a Supporting Role,0,Peggy Wood,The Sound of Music
1966,Actor in a Leading Role,1,Paul Scofield,A Man for All Seasons
1966,Actor in a Supporting Role,1,Walter Matthau,The Fortune Cookie
1966,Actress in a Leading Role,1,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1966,Actress in a Supporting Role,1,Sandy Dennis,Who's Afraid of Virginia Woolf?
1966,Actor in a Leading Role,0,Alan Arkin,The Russians Are Coming The Russians Are Coming
1966,Actor in a Leading Role,0,Richard Burton,Who's Afraid of Virginia Woolf?
1966,Actor in a Leading Role,0,Michael Caine,Alfie
1966,Actor in a Leading Role,0,Steve McQueen,The Sand Pebbles
1966,Actor in a Supporting Role,0,Mako,The Sand Pebbles
1966,Actor in a Supporting Role,0,James Mason,Georgy Girl
1966,Actor in a Supporting Role,0,George Segal,Who's Afraid of Virginia Woolf?
1966,Actor in a Supporting Role,0,Robert Shaw,A Man for All Seasons
1966,Actress in a Leading Role,0,Anouk Aimee,A Man and a Woman
1966,Actress in a Leading Role,0,Ida Kaminska,The Shop on Main Street
1966,Actress in a Leading Role,0,Lynn Redgrave,Georgy Girl
1966,Actress in a Leading Role,0,Vanessa Redgrave,Morgan!
1966,Actress in a Supporting Role,0,Wendy Hiller,A Man for All Seasons
1966,Actress in a Supporting Role,0,Jocelyne Lagarde,Hawaii
1966,Actress in a Supporting Role,0,Vivien Merchant,Alfie
1966,Actress in a Supporting Role,0,Geraldine Page,You're a Big Boy Now
1967,Actor in a Leading Role,1,Rod Steiger,In the Heat of the Night
1967,Actor in a Supporting Role,1,George Kennedy,Cool Hand Luke
1967,Actress in a Leading Role,1,Katharine Hepburn,Guess Who's Coming to Dinner
1967,Actress in a Supporting Role,1,Estelle Parsons,Bonnie and Clyde
1967,Actor in a Leading Role,0,Warren Beatty,Bonnie and Clyde
1967,Actor in a Leading Role,0,Dustin Hoffman,The Graduate
1967,Actor in a Leading Role,0,Paul Newman,Cool Hand Luke
1967,Actor in a Leading Role,0,Spencer Tracy,Guess Who's Coming to Dinner
1967,Actor in a Supporting Role,0,John Cassavetes,The Dirty Dozen
1967,Actor in a Supporting Role,0,Gene Hackman,Bonnie and Clyde
1967,Actor in a Supporting Role,0,Cecil Kellaway,Guess Who's Coming to Dinner
1967,Actor in a Supporting Role,0,Michael J. Pollard,Bonnie and Clyde
1967,Actress in a Leading Role,0,Anne Bancroft,The Graduate
1967,Actress in a Leading Role,0,Faye Dunaway,Bonnie and Clyde
1967,Actress in a Leading Role,0,Dame Edith Evans,The Whisperers
1967,Actress in a Leading Role,0,Audrey Hepburn,Wait until Dark
1967,Actress in a Supporting Role,0,Carol Channing,Thoroughly Modern Millie
1967,Actress in a Supporting Role,0,Mildred Natwick,Barefoot in the Park
1967,Actress in a Supporting Role,0,Beah Richards,Guess Who's Coming to Dinner
1967,Actress in a Supporting Role,0,Katharine Ross,The Graduate
1968,Actor in a Leading Role,1,Cliff Robertson,Charly
1968,Actor in a Supporting Role,1,Jack Albertson,The Subject Was Roses
1968,Actress in a Leading Role,1,Katharine Hepburn,The Lion in Winter
1968,Actress in a Leading Role,1,Barbra Streisand,Funny Girl
1968,Actress in a Supporting Role,1,Ruth Gordon,Rosemary's Baby
1968,Actor in a Leading Role,0,Alan Arkin,The Heart Is a Lonely Hunter
1968,Actor in a Leading Role,0,Alan Bates,The Fixer
1968,Actor in a Leading Role,0,Ron Moody,Oliver!
1968,Actor in a Leading Role,0,Peter O'Toole,The Lion in Winter
1968,Actor in a Supporting Role,0,Seymour Cassel,Faces
1968,Actor in a Supporting Role,0,Daniel Massey,Star!
1968,Actor in a Supporting Role,0,Jack Wild,Oliver!
1968,Actor in a Supporting Role,0,Gene Wilder,The Producers
1968,Actress in a Leading Role,0,Patricia Neal,The Subject Was Roses
1968,Actress in a Leading Role,0,Vanessa Redgrave,Isadora
1968,Actress in a Leading Role,0,Joanne Woodward,"Rachel, Rachel"
1968,Actress in a Supporting Role,0,Lynn Carlin,Faces
1968,Actress in a Supporting Role,0,Sondra Locke,The Heart Is a Lonely Hunter
1968,Actress in a Supporting Role,0,Kay Medford,Funny Girl
1968,Actress in a Supporting Role,0,Estelle Parsons,"Rachel, Rachel"
1969,Actor in a Leading Role,1,John Wayne,True Grit
1969,Actor in a Supporting Role,1,Gig Young,"They Shoot Horses, Don't They?"
1969,Actress in a Leading Role,1,Maggie Smith,The Prime of Miss Jean Brodie
1969,Actress in a Supporting Role,1,Goldie Hawn,Cactus Flower
1969,Actor in a Leading Role,0,Richard Burton,Anne of the Thousand Days
1969,Actor in a Leading Role,0,Dustin Hoffman,Midnight Cowboy
1969,Actor in a Leading Role,0,Peter O'Toole,"Goodbye, Mr. Chips"
1969,Actor in a Leading Role,0,Jon Voight,Midnight Cowboy
1969,Actor in a Supporting Role,0,Rupert Crosse,The Reivers
1969,Actor in a Supporting Role,0,Elliott Gould,Bob & Carol & Ted & Alice
1969,Actor in a Supporting Role,0,Jack Nicholson,Easy Rider
1969,Actor in a Supporting Role,0,Anthony Quayle,Anne of the Thousand Days
1969,Actress in a Leading Role,0,Genevieve Bujold,Anne of the Thousand Days
1969,Actress in a Leading Role,0,Jane Fonda,"They Shoot Horses, Don't They?"
1969,Actress in a Leading Role,0,Liza Minnelli,The Sterile Cuckoo
1969,Actress in a Leading Role,0,Jean Simmons,The Happy Ending
1969,Actress in a Supporting Role,0,Catherine Burns,Last Summer
1969,Actress in a Supporting Role,0,Dyan Cannon,Bob & Carol & Ted & Alice
1969,Actress in a Supporting Role,0,Sylvia Miles,Midnight Cowboy
1969,Actress in a Supporting Role,0,Susannah York,"They Shoot Horses, Don't They?"
1970,Actor in a Leading Role,1,George C. Scott,Patton
1970,Actor in a Supporting Role,1,John Mills,Ryan's Daughter
1970,Actress in a Leading Role,1,Glenda Jackson,Women in Love
1970,Actress in a Supporting Role,1,Helen Hayes,Airport
1970,Actress in a Supporting Role,1,Sally Kellerman,MA*S*H
1970,Actor in a Leading Role,0,Melvyn Douglas,I Never Sang for My Father
1970,Actor in a Leading Role,0,James Earl Jones,The Great White Hope
1970,Actor in a Leading Role,0,Jack Nicholson,Five Easy Pieces
1970,Actor in a Leading Role,0,Ryan O'Neal,Love Story
1970,Actor in a Supporting Role,0,Richard Castellano,Lovers and Other Strangers
1970,Actor in a Supporting Role,0,Chief Dan George,Little Big Man
1970,Actor in a Supporting Role,0,Gene Hackman,I Never Sang for My Father
1970,Actor in a Supporting Role,0,John Marley,Love Story
1970,Actress in a Leading Role,0,Jane Alexander,The Great White Hope
1970,Actress in a Leading Role,0,Ali MacGraw,Love Story
1970,Actress in a Leading Role,0,Sarah Miles,Ryan's Daughter
1970,Actress in a Leading Role,0,Carrie Snodgress,Diary of a Mad Housewife
1970,Actress in a Supporting Role,0,Karen Black,Five Easy Pieces
1970,Actress in a Supporting Role,0,Lee Grant,The Landlord
1970,Actress in a Supporting Role,0,Maureen Stapleton,Airport
1971,Actor in a Leading Role,1,Gene Hackman,The French Connection
1971,Actor in a Supporting Role,1,Ben Johnson,The Last Picture Show
1971,Actress in a Leading Role,1,Jane Fonda,Klute
1971,Actress in a Supporting Role,1,Cloris Leachman,The Last Picture Show
1971,Actor in a Leading Role,0,Peter Finch,Sunday Bloody Sunday
1971,Actor in a Leading Role,0,Walter Matthau,Kotch
1971,Actor in a Leading Role,0,George C. Scott,The Hospital
1971,Actor in a Leading Role,0,Topol,Fiddler on the Roof
1971,Actor in a Supporting Role,0,Jeff Bridges,The Last Picture Show
1971,Actor in a Supporting Role,0,Leonard Frey,Fiddler on the Roof
1971,Actor in a Supporting Role,0,Richard Jaeckel,Sometimes a Great Notion
1971,Actor in a Supporting Role,0,Roy Scheider,The French Connection
1971,Actress in a Leading Role,0,Julie Christie,McCabe & Mrs. Miller
1971,Actress in a Leading Role,0,Glenda Jackson,Sunday Bloody Sunday
1971,Actress in a Leading Role,0,Vanessa Redgrave,"Mary, Queen of Scots"
1971,Actress in a Leading Role,0,Janet Suzman,Nicholas and Alexandra
1971,Actress in a Supporting Role,0,Ann-Margret,Carnal Knowledge
1971,Actress in a Supporting Role,0,Ellen Burstyn,The Last Picture Show
1971,Actress in a Supporting Role,0,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?
1971,Actress in a Supporting Role,0,Margaret Leighton,The Go-Between
1972,Actor in a Leading Role,1,Marlon Brando,The Godfather
1972,Actor in a Supporting Role,1,Joel Grey,Cabaret
1972,Actress in a Leading Role,1,Liza Minnelli,Cabaret
1972,Actress in a Supporting Role,1,Eileen Heckart,Butterflies Are Free
1972,Actor in a Leading Role,0,Michael Caine,Sleuth
1972,Actor in a Leading Role,0,Laurence Olivier,Sleuth
1972,Actor in a Leading Role,0,Peter O'Toole,The Ruling Class
1972,Actor in a Leading Role,0,Paul Winfield,Sounder
1972,Actor in a Supporting Role,0,Eddie Albert,The Heartbreak Kid
1972,Actor in a Supporting Role,0,James Caan,The Godfather
1972,Actor in a Supporting Role,0,Robert Duvall,The Godfather
1972,Actor in a Supporting Role,0,Al Pacino,The Godfather
1972,Actress in a Leading Role,0,Diana Ross,Lady Sings the Blues
1972,Actress in a Leading Role,0,Maggie Smith,Travels with My Aunt
1972,Actress in a Leading Role,0,Cicely Tyson,Sounder
1972,Actress in a Leading Role,0,Liv Ullmann,The Emigrants
1972,Actress in a Supporting Role,0,Jeannie Berlin,The Heartbreak Kid
1972,Actress in a Supporting Role,0,Geraldine Page,Pete 'n' Tillie
1972,Actress in a Supporting Role,0,Susan Tyrrell,Fat City
1972,Actress in a Supporting Role,0,Shelley Winters,The Poseidon Adventure
1973,Actor in a Leading Role,1,Jack Lemmon,Save the Tiger
1973,Actor in a Supporting Role,1,John Houseman,The Paper Chase
1973,Actress in a Leading Role,1,Glenda Jackson,A Touch of Class
1973,Actress in a Supporting Role,1,Tatum O'Neal,Paper Moon
1973,Actor in a Leading Role,0,Marlon Brando,Last Tango in Paris
1973,Actor in a Leading Role,0,Jack Nicholson,The Last Detail
1973,Actor in a Leading Role,0,Al Pacino,Serpico
1973,Actor in a Leading Role,0,Robert Redford,The Sting
1973,Actor in a Supporting Role,0,Vincent Gardenia,Bang the Drum Slowly
1973,Actor in a Supporting Role,0,Jack Gilford,Save the Tiger
1973,Actor in a Supporting Role,0,Jason Miller,The Exorcist
1973,Actor in a Supporting Role,0,Randy Quaid,The Last Detail
1973,Actress in a Leading Role,0,Ellen Burstyn,The Exorcist
1973,Actress in a Leading Role,0,Marsha Mason,Cinderella Liberty
1973,Actress in a Leading Role,0,Barbra Streisand,The Way We Were
1973,Actress in a Leading Role,0,Joanne Woodward,"Summer Wishes, Winter Dreams"
1973,Actress in a Supporting Role,0,Linda Blair,The Exorcist
1973,Actress in a Supporting Role,0,Candy Clark,American Graffiti
1973,Actress in a Supporting Role,0,Madeline Kahn,Paper Moon
1973,Actress in a Supporting Role,0,Sylvia Sidney,"Summer Wishes, Winter Dreams"
1974,Actor in a Leading Role,1,Art Carney,Harry and Tonto
1974,Actor in a Supporting Role,1,Robert De Niro,The Godfather Part II
1974,Actress in a Leading Role,1,Ellen Burstyn,Alice Doesn't Live Here Anymore
